                1024	            0.012671
               11264	            0.012784
               21504	            0.012698
               31744	            0.012727
               41984	            0.023801
               52224	            0.059654
               62464	            0.057767
               72704	            0.023518
               82944	            0.057965
               93184	            0.060183
              103424	            0.025517
              113664	            0.060144
              123904	            0.032519
              134144	            0.058675
              144384	            0.059035
              154624	            0.059015
              164864	            0.061649
              175104	            0.067063
              185344	            0.068980
              195584	            0.063865
              216064	            0.077600
              226304	            0.080113
              236544	            0.073445
              246784	            0.092666
              257024	            0.077260
              267264	            0.068126
              277504	            0.067941
              287744	            0.094590
              297984	            0.079547
              308224	            0.113005
              318464	            0.121311
              328704	            0.136647
              338944	            0.123964
              349184	            0.143621
              359424	            0.142029
              369664	            0.149080
              379904	            0.123859
              390144	            0.124292
              400384	            0.127085
              410624	            0.141646
              420864	            0.142315
              431104	            0.129973
              441344	            0.158999
              451584	            0.139280
              461824	            0.130626
              472064	            0.127258
              482304	            0.155178
              492544	            0.142314
              502784	            0.124808
              513024	            0.137000
              523264	            0.163761
              533504	            0.136879
              543744	            0.163748
              553984	            0.163572
              564224	            0.138017
              574464	            0.164036
              584704	            0.145341
              594944	            0.124491
              605184	            0.153258
              615424	            0.161622
              625664	            0.136240
              635904	            0.139731
              646144	            0.154595
              656384	            0.163703
              666624	            0.147863
              676864	            0.161744
              687104	            0.162802
              697344	            0.131491
              707584	            0.125465
              717824	            0.126899
              728064	            0.163433
              738304	            0.163663
              748544	            0.163937
              758784	            0.163351
              769024	            0.163577
              779264	            0.166717
              789504	            0.167741
              799744	            0.124566
              809984	            0.163842
              820224	            0.134244
              830464	            0.124593
              840704	            0.162156
              850944	            0.163999
              861184	            0.128891
              871424	            0.141416
              881664	            0.163438
              902144	            0.163679
              912384	            0.143687
              922624	            0.129216
              932864	            0.163700
              943104	            0.163558
              953344	            0.125620
              963584	            0.135448
              973824	            0.164042
              984064	            0.124040
              994304	            0.163745
             1004544	            0.163668
             1014784	            0.164040
             1025024	            0.163623
             1035264	            0.163651
             1045504	            0.164055
             1055744	            0.164138
             1065984	            0.132275
             1076224	            0.124435
             1086464	            0.147694
             1096704	            0.163876
             1106944	            0.163718
             1117184	            0.164021
             1127424	            0.164036
             1137664	            0.163552
             1147904	            0.156513
             1158144	            0.161122
             1168384	            0.163532
             1178624	            0.163327
             1188864	            0.126925
             1199104	            0.163365
             1209344	            0.162280
             1219584	            0.162622
             1229824	            0.164249
             1240064	            0.163986
             1250304	            0.162889
             1260544	            0.163785
             1270784	            0.163776
             1281024	            0.127957
             1291264	            0.164264
             1301504	            0.164119
             1311744	            0.164631
             1321984	            0.162022
             1332224	            0.164006
             1342464	            0.165712
             1352704	            0.163559
             1362944	            0.163996
             1373184	            0.166208
             1383424	            0.157609
             1393664	            0.124465
             1403904	            0.138004
             1414144	            0.163927
             1424384	            0.163890
             1434624	            0.163470
             1444864	            0.163783
             1455104	            0.163979
             1465344	            0.162791
             1475584	            0.163919
             1485824	            0.125994
             1496064	            0.164203
             1506304	            0.155351
             1516544	            0.128947
             1526784	            0.163787
             1537024	            0.166246
             1547264	            0.149093
             1557504	            0.162523
             1567744	            0.164914
             1588224	            0.164660
             1598464	            0.163062
             1608704	            0.154148
             1618944	            0.164382
             1629184	            0.164339
             1639424	            0.131645
             1649664	            0.159128
             1659904	            0.164370
             1670144	            0.129715
             1680384	            0.164774
             1690624	            0.164856
             1700864	            0.164683
             1711104	            0.165274
             1721344	            0.165431
             1731584	            0.163680
             1741824	            0.165732
             1752064	            0.150040
             1762304	            0.127350
             1772544	            0.166605
             1782784	            0.166876
             1793024	            0.168811
             1803264	            0.173796
             1813504	            0.169434
             1823744	            0.172524
             1833984	            0.170852
             1844224	            0.169855
             1854464	            0.170248
             1864704	            0.169903
             1874944	            0.149014
             1885184	            0.268944
             1895424	            0.193626
             1905664	            0.170355
             1915904	            0.176513
             1926144	            0.174497
             1936384	            0.173182
             1946624	            0.185409
             1956864	            0.172672
             1967104	            0.154776
             1977344	            0.176158
             1987584	            0.175412
             1997824	            0.174848
             2008064	            0.174067
             2018304	            0.175523
             2028544	            0.178513
             2038784	            0.175644
             2049024	            0.178242
             2059264	            0.183404
             2069504	            0.176071
             2079744	            0.138577
             2089984	            0.164714
             2100224	            0.182347
             2110464	            0.182728
             2120704	            0.186730
             2130944	            0.177333
             2141184	            0.182473
             2151424	            0.184145
             2161664	            0.184719
             2171904	            0.146227
             2182144	            0.185473
             2192384	            0.180316
             2202624	            0.155001
             2212864	            0.187188
             2223104	            0.191241
             2233344	            0.184883
             2243584	            0.179616
             2253824	            0.196670
             2274304	            0.190210
             2284544	            0.185555
             2294784	            0.182620
             2305024	            0.197060
             2315264	            0.192709
             2325504	            0.164924
             2335744	            0.188089
             2345984	            0.198136
             2356224	            0.152485
             2366464	            0.199329
             2376704	            0.199945
             2386944	            0.202523
             2397184	            0.209194
             2407424	            0.200507
             2417664	            0.201715
             2427904	            0.206397
             2438144	            0.185047
             2448384	            0.151362
             2458624	            0.199974
             2468864	            0.209443
             2479104	            0.210092
             2489344	            0.203744
             2499584	            0.213713
             2509824	            0.206436
             2520064	            0.209000
             2530304	            0.224568
             2540544	            0.221582
             2550784	            0.214761
             2561024	            0.191066
             2571264	            0.216245
             2581504	            0.228960
             2591744	            0.216447
             2601984	            0.230171
             2612224	            0.229715
             2622464	            0.219368
             2632704	            0.232045
             2642944	            0.226176
             2653184	            0.190164
             2663424	            0.221138
             2673664	            0.232702
             2683904	            0.224163
             2694144	            0.224863
             2704384	            0.228459
             2714624	            0.249179
             2724864	            0.232066
